model,condition,N_valid,N_excluded,notes
GPT-4o-mini,zero-shot,300,0,
GPT-4o-mini,one-shot-merged,299,0,
GPT-4o-mini,one-shot-unmerged,299,0,
GPT-4o-mini,few-shot,297,0,
Claude Haiku 4.5,zero-shot,300,0,
Claude Haiku 4.5,one-shot-merged,299,0,
Claude Haiku 4.5,one-shot-unmerged,299,0,
Claude Haiku 4.5,few-shot,297,0,
DeepSeek R1,zero-shot,300,0,
DeepSeek R1,one-shot-merged,297,2,
DeepSeek R1,one-shot-unmerged,298,1,
DeepSeek R1,few-shot,297,0,
Mistral 3.2-24B,zero-shot,300,0,
Mistral 3.2-24B,one-shot-merged,299,0,
Mistral 3.2-24B,one-shot-unmerged,299,0,
Mistral 3.2-24B,few-shot,297,0,
