model,condition,N,N_excluded,Accuracy,Acc_CI_lo,Acc_CI_hi,P(Yes),R(Yes),F1(Yes),P(No),R(No),F1(No),Macro-Avg F1,Weighted-Avg F1,notes
Majority baseline (always yes),—,300,0,0.687,0.633,0.737,0.687,1.0,0.814,0.0,0.0,0.0,0.407,0.559,class balance: 206 yes / 94 no
GPT-4o-mini,zero-shot,300,0,0.773,0.727,0.82,0.797,0.898,0.845,0.691,0.5,0.58,0.712,0.762,
GPT-4o-mini,one-shot-merged,299,0,0.716,0.666,0.766,0.803,0.776,0.789,0.545,0.585,0.564,0.677,0.718,
GPT-4o-mini,one-shot-unmerged,299,0,0.739,0.689,0.789,0.805,0.82,0.812,0.584,0.559,0.571,0.692,0.738,
GPT-4o-mini,few-shot,297,0,0.774,0.727,0.822,0.775,0.946,0.852,0.771,0.398,0.525,0.688,0.75,
Claude Haiku 4.5,zero-shot,300,0,0.853,0.813,0.893,0.838,0.976,0.901,0.917,0.585,0.714,0.808,0.843,
Claude Haiku 4.5,one-shot-merged,299,0,0.806,0.763,0.849,0.81,0.937,0.869,0.79,0.521,0.628,0.748,0.793,
Claude Haiku 4.5,one-shot-unmerged,299,0,0.86,0.823,0.896,0.866,0.942,0.902,0.84,0.677,0.75,0.826,0.855,
Claude Haiku 4.5,few-shot,297,0,0.832,0.791,0.872,0.806,0.995,0.89,0.978,0.473,0.638,0.764,0.811,
DeepSeek R1,zero-shot,300,0,0.823,0.783,0.867,0.798,0.995,0.886,0.977,0.447,0.613,0.749,0.8,
DeepSeek R1,one-shot-merged,297,2,0.801,0.754,0.845,0.776,1.0,0.874,1.0,0.366,0.535,0.705,0.768,
DeepSeek R1,one-shot-unmerged,298,1,0.822,0.779,0.862,0.797,0.995,0.885,0.976,0.441,0.607,0.746,0.798,
DeepSeek R1,few-shot,297,0,0.825,0.778,0.865,0.802,0.99,0.886,0.956,0.462,0.623,0.755,0.804,
Mistral 3.2-24B,zero-shot,300,0,0.777,0.73,0.823,0.777,0.947,0.853,0.792,0.404,0.535,0.694,0.754,
Mistral 3.2-24B,one-shot-merged,299,0,0.773,0.722,0.819,0.802,0.888,0.843,0.681,0.521,0.59,0.716,0.763,
Mistral 3.2-24B,one-shot-unmerged,299,0,0.799,0.753,0.846,0.826,0.898,0.86,0.72,0.581,0.643,0.752,0.793,
Mistral 3.2-24B,few-shot,297,0,0.808,0.764,0.852,0.802,0.956,0.872,0.833,0.484,0.612,0.742,0.791,
