model,condition,N,N_excluded,Macro-Precision,Macro-Recall,Macro-F1,Micro-Precision,Micro-Recall,Micro-F1,Hamming-Loss,Flattened-Acc,Exact-Match-Acc,notes
GPT-4o-mini,zero-shot,300,0,0.47,0.481,0.415,0.666,0.751,0.706,0.194,0.806,0.007,
GPT-4o-mini,one-shot-merged,299,0,0.521,0.419,0.376,0.729,0.655,0.69,0.183,0.817,0.047,
GPT-4o-mini,one-shot-unmerged,299,0,0.471,0.242,0.263,0.665,0.306,0.419,0.264,0.736,0.01,
GPT-4o-mini,few-shot,297,0,0.292,0.002,0.003,0.778,0.003,0.006,0.31,0.69,0.0,
Claude Haiku 4.5,zero-shot,300,0,0.53,0.494,0.452,0.704,0.773,0.737,0.171,0.829,0.007,
Claude Haiku 4.5,one-shot-merged,299,0,0.451,0.483,0.418,0.73,0.738,0.734,0.166,0.834,0.02,
Claude Haiku 4.5,one-shot-unmerged,299,0,0.502,0.494,0.449,0.729,0.747,0.738,0.165,0.835,0.02,
Claude Haiku 4.5,few-shot,297,0,0.481,0.479,0.454,0.755,0.77,0.762,0.149,0.851,0.044,
DeepSeek R1,zero-shot,300,0,0.587,0.51,0.514,0.759,0.744,0.751,0.153,0.847,0.017,
DeepSeek R1,one-shot-merged,297,2,0.562,0.499,0.501,0.789,0.76,0.774,0.138,0.862,0.054,
DeepSeek R1,one-shot-unmerged,298,1,0.578,0.557,0.543,0.754,0.783,0.768,0.147,0.853,0.037,
DeepSeek R1,few-shot,297,0,0.49,0.478,0.458,0.737,0.731,0.734,0.164,0.836,0.027,
Mistral 3.2-24B,zero-shot,300,0,0.449,0.448,0.399,0.682,0.728,0.704,0.19,0.81,0.007,
Mistral 3.2-24B,one-shot-merged,299,0,0.448,0.351,0.348,0.721,0.553,0.626,0.205,0.795,0.03,
Mistral 3.2-24B,one-shot-unmerged,299,0,0.464,0.272,0.301,0.671,0.374,0.481,0.252,0.748,0.01,
Mistral 3.2-24B,few-shot,297,0,0.382,0.008,0.016,0.829,0.015,0.03,0.307,0.693,0.0,
